3GPpjQdAMTw __cxa_guard_acquire
ZqhZFuzKT6U _sceFiberAttachContextAndSwitch
B0ZX2hx9DMw sceFiberReturnToThread
p+zLIOg27zU sceFiberGetSelf
uq2Y5BFz0PE sceFiberGetInfo
JzyT91ucGDc sceFiberRename
Lcqty+QNWFc sceFiberStartContextSizeCheck
Kj4nXMpnM8Y sceFiberStopContextSizeCheck
0dy4JtMUcMQ _sceFiberGetThreadFramePointerAddress
whrS4oksXc4 sceFontMemoryInit
oM+XCzVG3oM sceFontSelectLibraryFt
Xx974EW-QFY sceFontSelectRendererFt
n590hj5Oe-k sceFontCreateLibraryWithEdition
WaSFJoRWXaI sceFontCreateRendererWithEdition
3OdRkSjOcog sceFontBindRenderer
N1EBMeGhf7E sceFontSetScalePixel
TMtqoFQjjbA sceFontSetEffectSlant
v0phZwa4R5o sceFontSetEffectWeight
6vGCkkQJOcI sceFontSetupRenderScalePixel
lz9y9UFO2UU sceFontSetupRenderEffectSlant
XIGorvLusDQ sceFontSetupRenderEffectWeight
imxVx8lm+KM sceFontGetHorizontalLayout
cKYtVmeSTcw sceFontOpenFontSet
KXUpebrFk1U sceFontOpenFontMemory
JzCH3SCFnAU sceFontOpenFontInstance
SsRbbCiWoGw sceFontSupportSystemFonts
mz2iTY0MK4A sceFontSupportExternalFonts
CUKn5pX-NVY sceFontAttachDeviceCacheBuffer
IQtleGLL5pQ sceFontGetRenderCharGlyphMetrics
gdUCnU0gHdI sceFontRenderSurfaceInit
YJtKLttI9fM sceGameUpdateInitialize
-4GCfYdNF1s sceImeUpdate
eaFXjfJv3xs sceImeKeyboardOpen
dKadqZFgKKQ sceImeKeyboardGetResourceId
-hJRce8wn1U _ZN3sce4Json12MemAllocatorC2Ev
OcAgPxcq5Vk _ZN3sce4Json12MemAllocatorD2Ev
cK6bYHf-Q5E _ZN3sce4Json11InitializerC1Ev
RujUxbr3haM _ZN3sce4Json11InitializerD1Ev
Cxwy7wHq4J0 _ZN3sce4Json11Initializer10initializeEPKNS0_13InitParameterE
+drDFyAS6u4 _ZN3sce4Json11Initializer27setGlobalNullAccessCallbackEPFRKNS0_5ValueENS0_9ValueTypeEPS3_PvES7_
WSOuge5IsCg _ZN3sce4Json14InitParameter2C1Ev
I2QC8PYhJWY _ZN3sce4Json14InitParameter212setAllocatorEPNS0_12MemAllocatorEPv
Eu95jmqn5Rw _ZN3sce4Json14InitParameter217setFileBufferSizeEm
IXW-z8pggfg _ZN3sce4Json11Initializer10initializeEPKNS0_14InitParameter2E
-wa17B7TGnw _ZN3sce4Json5ValueC2Ev
0eUrW9JAxM0 _ZN3sce4Json5ValueD2Ev
S5JxQnoGF3E _ZN3sce4Json6Parser5parseERNS0_5ValueEPKcm
SHtAad20YYM _ZNK3sce4Json5Value7getTypeEv
RBw+4NukeGQ _ZNK3sce4Json5Value5countEv
zTwZdI8AZ5Y _ZNK3sce4Json5Value10getBooleanEv
DIxvoy7Ngvk _ZNK3sce4Json5Value10getIntegerEv
sn4HNCtNRzY _ZNK3sce4Json5Value11getUIntegerEv
3qrge7L-AU4 _ZNK3sce4Json5Value7getRealEv
HwDt5lD9Bfo _ZNK3sce4Json5ValueixEPKc
XlWbvieLj2M _ZNK3sce4Json5ValueixEm
0YqYAoO-+Uo _ZNK3sce4Json5Value8getValueEm
4zrm6VrgIAw _ZN3sce4Json5ValueaSERKS1_
eG9E9M6XvTM _ZN3sce4Json6StringC2Ev
Ui7YFnSTCBw _ZN3sce4Json6StringD2Ev
Ncel8t2Rrpc _ZNK3sce4Json5Value8toStringERNS0_6StringE
L1KAkYWml-M _ZNK3sce4Json6String5c_strEv
qBMjqyBn3OM _ZN3sce4Json5ValueC1Ev
UeuWT+yNdCQ _ZN3sce4Json5ValueC1Eb
0lLK8+kDqmE _ZN3sce4Json5ValueC1El
x4AUdbhpRB0 _ZN3sce4Json5ValueC1Em
sOmU4vnx3s0 _ZN3sce4Json5ValueC1Ed
b9V6fmppLXY _ZN3sce4Json5ValueC1EPKc
CbrT3dwDILo _ZN3sce4Json5ValueC1ENS0_9ValueTypeE
sZIoMRGO+jk _ZN3sce4Json5ValueC1ERKNS0_6StringE
WTtYf+cNnXI _ZN3sce4Json5ValueD1Ev
5yHuiWXo2gg _ZN3sce4Json5Value3setEb
QxVVYhP-mvg _ZN3sce4Json5Value3setEl
SIe1ZmW7e7s _ZN3sce4Json5Value3setEm
BSmWDIkV4w4 _ZN3sce4Json5Value3setEd
IKQimvG9Wqs _ZN3sce4Json5Value3setENS0_9ValueTypeE
n6FC+l9DU70 _ZN3sce4Json5Value3setEPKc
6l3Bv2gysNc _ZN3sce4Json5Value3setERKNS0_6StringE
FIjXN2TkuTs _ZN3sce4Json5Value5clearEv
9KUZFjI1IxA _ZN3sce4Json6StringC1EPKc
qSmqLXXCPas _ZN3sce4Json6StringC1Ev
0CAesfH963Q _ZN3sce4Json6StringC1ERKS1_
cG1VE2HMl6c _ZN3sce4Json6StringD1Ev
ASoW5WE-UPo sceKernelAprSubmitCommandBufferAndGetResult
rqwFKI4PAiM sceKernelAprWaitCommandBuffer
eE4Szl8sil8 sceKernelAprSubmitCommandBuffer
qvMUCyyaCSI sceKernelAprSubmitCommandBufferAndGetId
WvEu7yl3Ivg sceKernelAprGetFileSize
BpFoboUJoZU sceKernelCreateEventFlag
8mql9OcQnd4 sceKernelDeleteEventFlag
IOnSvHzqu6A sceKernelSetEventFlag
7uhBFWRAS60 sceKernelClearEventFlag
9lvj5DjHZiA sceKernelPollEventFlag
JTvBflhYazQ sceKernelWaitEventFlag
PZku4ZrXJqg sceKernelCancelEventFlag
D0OdFMjp46I sceKernelCreateEqueue
jpFjmgAC5AE sceKernelDeleteEqueue
WDszmSbWuDk sceKernelAddUserEventEdge
4R6-OvI2cEA sceKernelAddUserEvent
LJDwdSNTnDg sceKernelDeleteUserEvent
F6e0kwo4cnk sceKernelTriggerUserEvent
bBfz7kMF2Ho sceKernelAddAmprEvent
vuae5JPNt9A sceKernelAddAmprSystemEvent
bMmid3pfyjo sceKernelDeleteAmprEvent
Ij+ryuEClXQ sceKernelDeleteAmprSystemEvent
QyrxcdBrb0M sceKernelGetKqueueFromEqueue
vz+pg2zdopI sceKernelGetEventUserData
mJ7aghmgvfc sceKernelGetEventId
23CPPI1tyBY sceKernelGetEventFilter
kwGyyjohI50 sceKernelGetEventData
fzyMKs9kim0 sceKernelWaitEqueue
WkwEd3N7w0Y sceKernelInstallExceptionHandler
Qhv5ARAoOEc sceKernelRemoveExceptionHandler
il03nluKfMk sceKernelRaiseException
WB66evu8bsU sceKernelGetCompiledSdkVersion
8zLSfEfW5AU sceCoredumpRegisterCoredumpHandler
uMei1W9uyNo exit
XKRegsFpEpk catchReturnFromMain
bzQExy189ZI _init_env
8G2LB+A3rzg atexit
tsvEmnenz48 __cxa_atexit
H2e8t5ScQGc __cxa_finalize
kbw4UHHSYy0 __pthread_cxa_finalize
6Z83sYWFlA8 _exit
Ac86z8q7T8A sceKernelExitSblock
6UgtwV+0zb4 scePthreadCreate
OxhIB8LB-PQ pthread_create
Jmi+9w9u0E4 pthread_create_name_np
3kg7rT0NQIs scePthreadExit
FJrT5LuUBAU pthread_exit
onNY9Byn-W8 scePthreadJoin
h9CcP3J0oVM pthread_join
wuCroIGjt2g open
1G3lF1Gg1k8 sceKernelOpen
mqQMh1zPPT8 fstat
hcuQgD53UxM printf
EMutwaQ34Jo perror
L1SBTkC+Cvw abort
ezv-RSBNKqI pread
+r3rMFwItV4 sceKernelPread
C2kJ-byS5rM pwrite
nKWi-N2HBV4 sceKernelPwrite
juWbTNM+8hw fsync
fTx66l5iWIA sceKernelFsync
KIbJFQ0I1Cg fdatasync
30Rh4ixbKy4 sceKernelFdatasync
Y2OqwJQ3lr8 sync
ih4CD9-gghM ftruncate
VW3TVZiM4-E sceKernelFtruncate
ayrtszI7GBg truncate
WlyEA-sLDf0 sceKernelTruncate
NN01qLRhiqU rename
52NcYU9+lEo sceKernelRename
iiQjzvfWDq0 dup
wdUufa9g-D8 dup2
8nY19bKoiZk fcntl
SoZkxZkCHaw sceKernelFcntl
ku7D4q1Y9PI poll
T8fER+tIGgk select
HgX7+AORI58 sceKernelAioSubmitReadCommands
lXT0m3P-vs4 sceKernelAioSubmitReadCommandsMultiple
XQ8C8y+de+E sceKernelAioSubmitWriteCommands
o7O4z3jwKzo sceKernelAioPollRequests
lgK+oIWkJyA sceKernelAioWaitRequests
fR521KIGgb8 sceKernelAioCancelRequest
5TgME6AYty4 sceKernelAioDeleteRequest
8zTFvBIAIN8 memset
j4ViWNHEgww strlen
5jNubw4vlAA strnlen
LHMrG7e8G78 wcsmisc
WkkeywLJcgU wcslen
Ovb2dSJOAuE strcmp
fV2xHER+bKE wcscoll
pNtJdE3x49E wcscmp
FM5NPnLqBc8 wcscpy
aesyjrHVWy4 strncmp
0nV21JjYCH8 wcsncpy
E8wCoUEbfzk wcsncmp
eLdDw6l0-bU snprintf
Q2V+iqvjgC0 vsnprintf
nJz16JE1txM swprintf
u0XOsuOmOzc vswprintf
Im55VJ-Bekc swprintf_s
oDoV9tyHTbA vswprintf_s
GMpvxPFW924 vprintf
kiZSXIWd9vg strcpy
6f5f-qx4ucA wcscpy_s
6sJWiWSRuqk strncpy
Slmz4HMpNGs wcsncpy_s
Ezzq78ZgHPs wcschr
Q3VBxCXhUHs memcpy
+P6FRGH4LfA memmove
gQX+4GDQjpM malloc
tIhsqj0qsFE free
2X5agFjKxMc calloc
Y7aJ1uydPMo realloc
Ujf3KzMvRmI memalign
2Btkg8k24Zg aligned_alloc
cVSk9y8URbc posix_memalign
DfivPArhucg memcmp
QrZZdJ8XsX0 fputs
6c3rCVE-fTU _open
NNtFaKJbPt0 _close
bY-PO6JhzhQ close
UK2Tl2DWUns sceKernelClose
eV9wAD2riIA sceKernelStat
E6ao34wPw+U stat
gEpBkcwxUjw sceKernelAprResolveFilepathsToIdsAndFileSizes
WT-5NKy42fw sceKernelAprResolveFilepathsToIds
ApkYaHb8Sek sceKernelAprGetFileStat
kBwCPsYX-m4 sceKernelFstat
AUXVxWeJU-A sceKernelUnlink
1-LFLmRFxxM sceKernelMkdir
naInUjYt3so sceKernelRmdir
DRuBt2pvICk _read
AqBioC2vF3I read
Cg4srZ6TKbU sceKernelRead
Oy6IpwgtYOk lseek
oib76F-12fk sceKernelLseek
taRWhTJFTgE sceKernelGetdirentries
j2AIqSqJP0w sceKernelGetdents
FxVZqBAA7ks _write
FN4gaPmuFV8 write
4wSze92BhLI sceKernelWrite
lLMT9vJAck0 clock_gettime
vNe1w4diLCs __tls_get_addr
pB-yGZ2nQ9o _sceKernelSetThreadAtexitCount
WhCc1w3EhSI _sceKernelSetThreadAtexitReport
rNhWz+lvOMU _sceKernelSetThreadDtors
Tz4RNUCBbGI _sceKernelRtldThreadAtexitIncrement
8OnWXlgQlvo _sceKernelRtldThreadAtexitDecrement
pO96TwzOm5E sceKernelGetDirectMemorySize
C0f7TJcbfac sceKernelAvailableDirectMemorySize
aNz11fnnzi4 sceKernelAvailableFlexibleMemorySize
rTXw65xmLIA sceKernelAllocateDirectMemory
B+vc2AO2Zrc sceKernelAllocateMainDirectMemory
MBuItvba6z8 sceKernelReleaseDirectMemory
hwVSPCmp5tM sceKernelCheckedReleaseDirectMemory
L-Q3LEjIbgA sceKernelMapDirectMemory
NcaWUxfMNIQ sceKernelMapNamedDirectMemory
mL8NDH86iQI sceKernelMapNamedFlexibleMemory
IWIBBdTHit4 sceKernelMapFlexibleMemory
4h6F1LLbTiw sceKernelMapNamedFlexibleMemoryInternal
2SKEx6bSq-4 sceKernelBatchMap
kBJzF8x4SyE sceKernelBatchMap2
yDBwVAolDgg sceKernelIsStack
cQke9UuBQOk sceKernelMunmap
DGMG3JshrZU sceKernelSetVirtualRangeName
rVjRvHJ0X6c sceKernelVirtualQuery
WFcfL2lzido sceKernelQueryMemoryProtection
BHouLQzh0X0 sceKernelDirectMemoryQuery
vSMAm3cxYTY sceKernelMprotect
9bfdLIyuwCY sceKernelMtypeprotect
AV6ipCNa4Rw strcasecmp
tcVi5SivF7Q sprintf
jbz9I9vkqkk vsprintf
al3JzFI9MQ0 sceLibcInternalHeapErrorReportForGame
ob5xAW4ln-0 strchr
9yDWMxEFdJU strrchr
8u8lPzUEq+U memchr
Ls4tzzhimqQ strcat
kHg45qPC6f0 strncat
viiwFMaNamA strstr
fgIsQ10xYVA sceKernelChmod
aI+OeCz8xrQ scePthreadSelf
EotR8a3ASf4 pthread_self
3PtV6p3QNX4 scePthreadEqual
7Xl257M4VNI pthread_equal
T72hz6ffq08 scePthreadYield
GBUY7ywdULE scePthreadRename
EI-5-jlq2dE scePthreadGetthreadid
3eqs37G74-s pthread_getthreadid_np
cmo1RIYva9o scePthreadMutexInit
2Of0f+3mhhE scePthreadMutexDestroy
9UK1vLZQft4 scePthreadMutexLock
upoVrzMHFeE scePthreadMutexTrylock
tn3VlD0hG60 scePthreadMutexUnlock
ttHNfU+qDBU pthread_mutex_init
ltCfaGr2JGE pthread_mutex_destroy
7H0iTOciTLo pthread_mutex_lock
K-jXhbt2gn4 pthread_mutex_trylock
2Z+PpY6CaJg pthread_mutex_unlock
F8bUHwAG284 scePthreadMutexattrInit
smWEktiyyG0 scePthreadMutexattrDestroy
iMp8QpE+XO4 scePthreadMutexattrSettype
1FGvU0i9saQ scePthreadMutexattrSetprotocol
dQHWEsJtoE4 pthread_mutexattr_init
HF7lK46xzjY pthread_mutexattr_destroy
mDmgMOGVUqg pthread_mutexattr_settype
5txKfcMUAok pthread_mutexattr_setprotocol
2Tb92quprl0 scePthreadCondInit
0TyVk4MSLt0 pthread_cond_init
g+PZd2hiacg scePthreadCondDestroy
RXXqi4CtF8w pthread_cond_destroy
WKAXJ4XBPQ4 scePthreadCondWait
BmMjYxmew1w scePthreadCondTimedwait
kDh-NfxgMtE scePthreadCondSignal
JGgj7Uvrl+A scePthreadCondBroadcast
Op8TBGY5KHg pthread_cond_wait
27bAgiJmOh0 pthread_cond_timedwait
mkx2fVhNMsg pthread_cond_broadcast
2MOy+rUfuhQ pthread_cond_signal
m5-2bsNfv7s scePthreadCondattrInit
waPcxYiR3WA scePthreadCondattrDestroy
14bOACANTBo scePthreadOnce
4qGrR6eoP9Y scePthreadDetach
+U1R4WtXvoc pthread_detach
How7B8Oet6k scePthreadGetname
bt3CTBKmGyI scePthreadSetaffinity
rcrVFJsQWRY scePthreadGetaffinity
1tKyG7RlMJo scePthreadGetprio
W0Hpm2X0uPE scePthreadSetprio
Xs9hdiD7sAA pthread_setschedparam
oIRFTjoILbg scePthreadSetschedparam
P41kTWUS3EI scePthreadGetschedparam
nsYoNRywwNg scePthreadAttrInit
wtkt-teR1so pthread_attr_init
62KCwEMmzcM scePthreadAttrDestroy
zHchY8ft5pk pthread_attr_destroy
x1X76arYMxU scePthreadAttrGet
8+s5BzZjxSg scePthreadAttrGetaffinity
JaRMy+QcpeU scePthreadAttrGetdetachstate
txHtngJ+eyc scePthreadAttrGetguardsize
Ru36fiTtJzA scePthreadAttrGetstackaddr
-quPa4SEJUw scePthreadAttrGetstack
-fA+7ZlGDQs scePthreadAttrGetstacksize
3qxgM4ezETA scePthreadAttrSetaffinity
-Wreprtu0Qs scePthreadAttrSetdetachstate
El+cQ20DynU scePthreadAttrSetguardsize
eXbUSpEaTsA scePthreadAttrSetinheritsched
FXPWHNk8Of0 scePthreadAttrGetschedparam
DzES9hQF4f4 scePthreadAttrSetschedparam
4+h9EzwKF4I scePthreadAttrSetschedpolicy
UTXzJbWhhTE scePthreadAttrSetstacksize
2Q0z6rnBrTE pthread_attr_setstacksize
Bvn74vj6oLo scePthreadAttrSetstack
6ULAa0fq4jA scePthreadRwlockInit
ytQULN-nhL4 pthread_rwlock_init
BB+kb08Tl9A scePthreadRwlockDestroy
1471ajPzxh0 pthread_rwlock_destroy
Ox9i0c7L5w0 scePthreadRwlockRdlock
iGjsr1WAtI0 pthread_rwlock_rdlock
mqdNorrB+gI scePthreadRwlockWrlock
sIlRvQqsN2Y pthread_rwlock_wrlock
+L98PIbGttk scePthreadRwlockUnlock
EgmLo6EWgso pthread_rwlock_unlock
